experiment,best_epoch,best_val_acc1,best_val_acc5,best_val_loss,test_acc1,test_acc5,test_loss,params_total,model_size_mb,latency_ms_b1,latency_ms_b16,latency_ms_b64,latency_ms_b128,throughput_b128,peak_memory_mb
resnet18_cifar100,182,74.84,91.3000000366211,1.3320583808898925,74.23,90.32,1.3369795166015626,11220132,42.83818054199219,3.1711267300124746,5.559594859951176,15.193510809986037,29.412990029959474,4296.383381403141,326.54052734375
mobilenet_v2_cifar100,180,67.07999997558593,86.99999991455078,1.5241800485610961,66.16,86.26,1.5469117248535156,2351972,9.102584838867188,4.729672870016657,4.599817829948734,6.735636399971554,13.415288210017025,9553.56270163303,123.8046875
shufflenet_v2_x1_0_cifar100,177,70.68000001220703,89.17999991455078,1.4054887077331544,69.58,88.53,1.4166022674560548,1356104,5.2352752685546875,6.075276090050465,6.560572140006116,6.8159327899775235,13.924300339931506,9192.710089567094,95.18408203125
coc_cifar_baseline_cifar100,191,60.81999999389649,80.3999999633789,1.843269945716858,61.19,80.66,1.8195803802490234,2424704,9.24951171875,10.75293479996617,11.03025777003495,10.97631975004333,14.571537689989782,8884.473009652671,71.90869140625
hbcc_accuracy_medium_cifar100,283,75.68000001220703,92.61999995117188,1.070066887664795,75.37,92.43,1.0824750137329102,2863992,10.962379455566406,16.77839849005977,16.20068641997932,16.998613120013033,22.68523031998484,5646.020957832027,145.65380859375
hbcc_accuracy_small_cifar100,250,73.93999989013672,92.4000000366211,1.1352066734313966,73.01,92.04,1.1633711257934571,1558868,5.971611022949219,11.72461567002756,13.928606509944075,13.222507329992368,17.48944295999536,7343.134502190198,109.6689453125
hbcc_accuracy_small_pruning_mask_cifar100,67,73.93999989013672,91.69999995117188,1.104000904083252,73.25,91.14,1.1380383522033692,,,,,,,,
hbcc_accuracy_small_cifar100_pruned_export,69,58.35999996948242,85.34,1.5607193235397339,58.44,84.68,1.5525734901428223,1558868,5.971611022949219,11.785441849933704,11.982470540024224,12.123910559967044,17.409200740003143,7370.312810706799,109.6689453125
