model_name,config_id,device,device_name,torch_version,cuda_version,image_size,params_total,params_trainable,model_size_mb,macs,flops,unsupported_ops,flop_error,bops,latency_ms_b1,throughput_b1,latency_ms_b16,throughput_b16,latency_ms_b64,throughput_b64,latency_ms_b128,throughput_b128,peak_memory_mb,operator_profile,benchmark_file,acc1
hbcc,hbcc_accuracy_medium,cuda,Tesla T4,2.10.0+cu128,12.8,32,2840862,2836254,10.8741455078125,60651008,60651008,,,0,15.478922889960813,64.14815510118568,15.974119230013457,1016.579008368738,16.37810025997169,3909.192120409594,22.18380073994922,5781.491545180288,145.56591796875,results/benchmark/hbcc_accuracy_medium_profile.txt,results/benchmark/hbcc_accuracy_medium.json,94.45
resnet18_cifar,resnet18_cifar,cuda,Tesla T4,2.10.0+cu128,12.8,32,11173962,11173962,42.66205596923828,556659712,556659712,,,0,3.059295880011632,481.7724315290857,5.767535359991598,2841.279198784183,15.763442579991533,4054.5958297288744,30.243530250008916,4166.638903992815,326.36474609375,results/benchmark/resnet18_cifar_profile.txt,results/benchmark/resnet18_cifar.json,94.16
hbcc,hbcc_accuracy_small,cuda,Tesla T4,2.10.0+cu128,12.8,32,1538618,1535162,5.8943634033203125,35883712,35883712,,,0,13.74585878002108,73.85480506627714,14.109377989952918,1173.894302829934,13.785006399994018,4655.412038331949,17.140682179961004,7506.4283043190335,109.59228515625,results/benchmark/hbcc_accuracy_small_profile.txt,results/benchmark/hbcc_accuracy_small.json,94.0
shufflenet_v2_x1_0_cifar,shufflenet_v2_x1_0_cifar,cuda,Tesla T4,2.10.0+cu128,12.8,32,1263854,1263854,4.883369445800781,46128256,46128256,,,0,6.5253828200366115,156.62171447508865,7.146653090021573,2317.846824712107,7.079031339962967,9155.679397142656,14.418299440003466,8894.84313394425,94.83251953125,results/benchmark/shufflenet_v2_x1_0_cifar_profile.txt,results/benchmark/shufflenet_v2_x1_0_cifar.json,91.68
mobilenet_v2_cifar,mobilenet_v2_cifar,cuda,Tesla T4,2.10.0+cu128,12.8,32,2236682,2236682,8.662788391113281,25556736,25556736,,,0,5.3330457500123885,187.06884652906695,5.424723420001101,3136.6687015993575,6.9430141700286185,9288.10330818941,13.850148409983376,9256.085862706122,123.365234375,results/benchmark/mobilenet_v2_cifar_profile.txt,results/benchmark/mobilenet_v2_cifar.json,91.04
hbcc,coc_cifar_baseline,cuda,Tesla T4,2.10.0+cu128,12.8,32,2395814,2395814,9.139305114746094,34369600,34369600,,,0,12.46992941996723,79.84775524331896,12.902566669945372,1240.587516161726,12.821772960014641,4950.21800117096,14.888264119945234,8676.506413304185,71.798828125,results/benchmark/coc_cifar_baseline_profile.txt,results/benchmark/coc_cifar_baseline.json,88.34
